date,time,protocol_version,code,name,position_before,price_at_decision,market_context,signal,advice,shares_advised,actual_action,shares_actual,position_after,reason,T1_return,T3_return,T5_return,outcome,rule_tags,notes,event_id,theme_id,portfolio_role,stock_role,lifecycle_state,leadership_change,flow_evidence,attention_evidence,crowding_evidence,price_impact,next_buyer,invalidation,opportunity_action
2026-08-20,14:30,DailyExecution-pre-v1.0,603179,新泉股份,400,34.8,广泛修复,修复明显不及预期,减仓/清仓,200-400,卖出,400,0,昨日极弱且普涨修复日仍偏弱,5.55%,,,T+1强反包；短期偏弱判断受反证,R-001|R-003,候选T+1收盘36.73；相对判断价上涨5.55%；新浪收盘涨幅4.79%且总市值反推价格；前收口径与项目D0记录不一致需券商账单复核,,,,,,,,,,,,,
2026-08-20,14:30,DailyExecution-pre-v1.0,300421,力星股份,500,16.26,广泛修复,反弹力度不足,减仓,300,卖出,300,200,高Beta修复不充分,1.05%,,,T+1温和反弹；减仓方向暂未获支持,R-001|R-003,T+1收盘16.43；相对判断价上涨1.05%；继续等待T+3/T+5,,,,,,,,,,,,,
2026-08-20,14:30,DailyExecution-pre-v1.0,2150,正泰电源,300,22.25,广泛修复,高开回吐/修复失败,减仓,200,卖出,200,100,反弹承接不足,3.01%,,,T+1明显反弹；减仓方向暂未获支持,R-001|R-003,T+1候选收盘22.92；相对判断价上涨3.01%；收盘来源为新浪盘后涨幅2.78%,,,,,,,,,,,,,
2026-08-20,14:30,DailyExecution-pre-v1.0,600487,亨通光电,100,60.94,指数偏弱个股修复,相对强承接,条件加仓,100,买入,100,200,恐慌后相对强且资金承接较好,2.04%,,,T+1正收益但弱于通信板块；部分成立,R-001|R-008,T+1收盘62.18；相对判断价上涨2.04%；绝对承接保留但相对强度下降,,,,,,,,,,,,,
2026-08-20,14:30,DailyExecution-pre-v1.0,688111,金山办公,200,241.15,广泛修复,Good News + Weak Reaction,尾盘条件清仓,200,卖出,200,0,好消息对应弱价格反应；事后发现二元仓位与卖飞风险评估不足,-0.27%,,,T+1未反包；清仓方向获得初步支持,R-002|R-004|R-005,T+1收盘240.50；相对判断价下跌0.27%；仍需T+3/T+5检验是否只是短期波动,,,,,,,,,,,,,
2026-08-21,09:45,DailyExecution-v1.0,603861,白云电器,1000,,隔夜美股下跌且油金上涨；9:45实时A股行情缺失,无明确个股新增驱动且开盘反应待确认,观察/等待10:30,0,,,,低股票仓位下缺少实时量价证据不提高动作强度,,,,D0不可验证；排除统计,R-001|R-003,overnight_driver=none; expected_reaction=中性偏弱/弱; actual_reaction=missing_at_0945; surprise=none; confirm_at_1030=是否强于电网设备及指数并有量能; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,09:45,DailyExecution-v1.0,300421,力星股份,200,,隔夜美股下跌且风险偏好走弱；9:45实时A股行情缺失,高Beta承接是否持续待确认,观察/等待10:30,0,,,,开盘15分钟量价缺失且现有持仓仅200股不做二元化冲动操作,,,,D0不可验证；排除统计,R-001|R-003|R-005,overnight_driver=美股与纳指下跌; expected_reaction=偏弱/中; actual_reaction=missing_at_0945; surprise=none; confirm_at_1030=是否强于机器人板块并收回开盘缺口; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,09:45,DailyExecution-v1.0,603993,洛阳钼业,200,,隔夜油金走强且美元偏弱；铜价与9:45实时A股行情缺失,已知业绩会前的价格承接待确认,观察/等待10:30,0,,,,半年报已在前一交易日被市场交易且10点业绩会为已知事件；不把旧利好重复当作新增驱动,,,,D0不可验证；排除统计,R-002|R-003,overnight_driver=none; expected_reaction=中性偏强/中; actual_reaction=missing_at_0945; surprise=none; confirm_at_1030=业绩会期间能否保持相对强势且不出现利好兑现; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,09:45,DailyExecution-v1.0,002150,正泰电源,100,,隔夜美股下跌且油金上涨；9:45实时A股行情缺失,无明确个股新增驱动且昨日修复失败后的承接待确认,观察/等待10:30,0,,,,仅100股的二元仓位需提高阈值且缺少实时量价证据,,,,D0不可验证；排除统计,R-001|R-003|R-005,overnight_driver=none; expected_reaction=中性偏弱/弱; actual_reaction=missing_at_0945; surprise=none; confirm_at_1030=是否收复昨日高开回吐区间并有电网板块共振; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
2026-08-21,09:45,DailyExecution-v1.0,600487,亨通光电,200,,隔夜纳指下跌且长久期科技承压；9:45实时A股行情缺失,外围偏弱与昨日相对强承接之间的冲突待验证,观察/等待10:30,0,,,,昨日新增100股在低总仓位下无需因外围单日下跌立刻反向交易,,,,D0不可验证；排除统计,R-001|R-002|R-008,overnight_driver=纳指下跌与美债收益率高位; expected_reaction=偏弱/中; actual_reaction=missing_at_0945; surprise=none; confirm_at_1030=能否守住昨日强势并保持相对通信板块的强度; D0_review=excluded; exclusion_reason=intraday_data_missing,,,,,,,,,,,,,
